ICAO,Name,City,Elevation,Longitude,Latitude
00AK,Lowell Field,Anchor Point,252,-151.6924744,59.94773102
00AL,Epps Airpark,Harvest,820,-86.76956177,34.86470032
00AS,Fulton,Ninnekah,1100,-97.81806183,34.94256973
00C,Animas Air Park,Durango,6655,-107.8692017,37.20318604
00CA,Goldstone /Gts/,Barstow,3038,-116.8853912,35.3547821
00CL,Williams Ag,Sacramento,87,-121.7634583,39.42599869
00CO,Cass Field,Briggsdale,4826,-104.3406982,40.61818695
00F,Broadus,,3272,-105.4571533,45.47047424
00FA,Grass Patch,Bushnell,53,-82.21855164,28.64559174
00FD,Davis Field,,1184,-96.96047974,37.25502396
00FL,River Oak,Okeechobee,35,-80.97093964,27.2322979
00GA,Lt World,Lithonia,700,-84.06787109,33.76747894
00KS,Hayden Farm,Gardner,1100,-94.93080902,38.72741699
00KY,Robbins Roost,Stanford,1265,-84.61884308,37.40979385
00LS,Lejeune,Crowley,12,-92.42973328,30.13601303
00M,Thigpen Field,Bay Springs,344,-89.23525238,31.9537735
00MD,Slater Fld,Federalsburg,45,-75.75283813,38.75619888
00MN,Battle Lake Muni,Battle Lake,1365,-95.70032501,46.30628967
00N,Bucks,Bridgeton,103,-75.18439484,39.4730835
00NC,North Raleigh,Louisburg,348,-78.37130737,36.08507919
00OH,Exit 3,Wauseon,781,-84.1404953,41.59062195
00OK,Gull Bay Landing Airport,Sand Springs,960,-96.21765137,36.19847107
00R,Livingston Muni,Livingston,150,-95.01789093,30.68584633
00S,Mc Kenzie Bridge State,McKenzie Bridge,1621,-122.0856628,44.18152618
00SC,Flying O,Sumter,150,-80.27243042,34.01039886
00U,Big Horn Co,,3015,-107.6603851,45.74438477
00UT,Clear Creek Ranch,Kanab,6102,-112.8223648,37.247509
00VA,Vaughan,South Boston,551,-78.99837494,36.57522583
00VI,Groundhog Mountain,Hillsville,2680,-80.49963379,36.66338348
00W,Lower Granite State,Colfax,686,-117.4415436,46.67261505
00WA,Howell,Longbranch,150,-122.7710648,47.17812347
00XA,Weeski Ranch,,271,-96.01415253,30.22409821
00XS,L P Askew Farms,O'Donnell,3102,-101.9213333,33.03135681
01AL,Ware Island,Clanton,344,-86.51422119,32.94583893
01C,Grant,Grant,810,-85.77342224,43.34327698
01CL,Swansboro Country,Placerville,2594,-120.7355042,38.79906464
01FA,Rybolt Ranch,Orlando,55,-81.14335632,28.59062386
01FL,Cedar Knoll Flying Ranch,Geneva,19,-81.15917969,28.78110313
01G,Perry-Warsaw,Perry,1549,-78.05166626,42.74134827
01GE,The Farm,Wrightsville,375,-82.7716217,32.67518616
01ID,Lava Hot Springs,Lava Hot Springs,5268,-112.0326691,42.60732269
01II,Myers Field,Lizton,959,-86.52596283,39.87753296
01J,Hilliard Airpark,Hilliard,56,-81.90634155,30.68567276
01K,Caldwell Muni,Caldwell,1146,-97.58541107,37.03641129
01KS,Flying N Ranch,Lost Springs,1476,-97.00352478,38.54023361
01LL,Schumaier Rla,Pinckneyville,549,-89.46393585,38.12667084
01LS,Country Breeze,Slaughter,125,-91.07749176,30.7224865
01M,Tishomingo County,Belmont,578,-88.2011795,34.49182129
01MT,Crystal Lakes Resort,Fortine,3141,-114.8828354,48.79285431
01NC,Topsail Airpark,Holly Ridge,65,-77.58076477,34.47546005
01NE,Detour,Wellfleet,3000,-100.6515198,40.84383011
01NH,Moore Airfield,Enfield,835,-72.08691406,43.64445877
01NK,Granville,Granville,420,-73.26822662,43.42289734
01NM,Champion Ranch,Artesia,3630,-104.5407791,33.00767136
01OH,Gillmor,Fremont,663,-83.1484375,41.28403091
01SC,York,York,779,-81.25273132,35.03118515
01TE,Smith Field,Forney,505,-96.42832947,32.73653793
01TN,Colonial Air Park,Collierville,370,-89.73164368,34.99516678
01TS,Fort Parker Flying Field,Groesbeck,500,-96.54616547,31.56520844
01TX,Mims Farm,Waxahachie,610,-96.87736511,32.3882103
01U,Duckwater,Duckwater,5117,-115.7097092,38.94649506
01UT,La Sal Junction,La Sal,6000,-109.3976135,38.30909348
